Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Ai Impact,Ai Exploit Conditions,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
845819202,java.servlets.security.audit.url-rewriting.url-rewriting,Code,Critical,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/ResponseImpl.java#L62,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819202,2026-06-15 18:05:55.429951,2026-06-15 18:05:55.261464,refs/heads/main,,,,"URL rewriting has significant security risks. Since session ID appears in the URL, it may be easily seen by third parties."
845819201,java.servlets.security.audit.url-rewriting.url-rewriting,Code,Critical,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/ResponseImpl.java#L67,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819201,2026-06-15 18:05:55.429933,2026-06-15 18:05:55.261458,refs/heads/main,,,,"URL rewriting has significant security risks. Since session ID appears in the URL, it may be easily seen by third parties."
845819200,generic.secrets.security.detected-private-key.detected-private-key,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/openssh-portable-V_7_2_P2/regress/rsa_openssh.prv#L1,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819200,2026-06-15 18:05:55.429915,2026-06-15 18:05:55.261453,refs/heads/main,,,,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file."
845819199,generic.secrets.security.detected-private-key.detected-private-key,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/openssh-portable-V_7_2_P2/regress/unittests/sshkey/testdata/dsa_1#L1,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819199,2026-06-15 18:05:55.429898,2026-06-15 18:05:55.261448,refs/heads/main,,,,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file."
845819198,generic.secrets.security.detected-private-key.detected-private-key,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/openssh-portable-V_7_2_P2/regress/unittests/sshkey/testdata/dsa_2#L1,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819198,2026-06-15 18:05:55.429880,2026-06-15 18:05:55.261442,refs/heads/main,,,,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file."
845819197,generic.secrets.security.detected-private-key.detected-private-key,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/openssh-portable-V_7_2_P2/regress/unittests/sshkey/testdata/dsa_n#L1,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819197,2026-06-15 18:05:55.429863,2026-06-15 18:05:55.261437,refs/heads/main,,,,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file."
845819196,generic.secrets.security.detected-private-key.detected-private-key,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/openssh-portable-V_7_2_P2/regress/unittests/sshkey/testdata/dsa_n_pw#L1,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819196,2026-06-15 18:05:55.429845,2026-06-15 18:05:55.261432,refs/heads/main,,,,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file."
845819195,generic.secrets.security.detected-private-key.detected-private-key,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/openssh-portable-V_7_2_P2/regress/unittests/sshkey/testdata/ecdsa_1#L1,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819195,2026-06-15 18:05:55.429826,2026-06-15 18:05:55.261427,refs/heads/main,,,,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file."
845819194,generic.secrets.security.detected-private-key.detected-private-key,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/openssh-portable-V_7_2_P2/regress/unittests/sshkey/testdata/ecdsa_2#L1,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819194,2026-06-15 18:05:55.429800,2026-06-15 18:05:55.261422,refs/heads/main,,,,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file."
845819193,generic.secrets.security.detected-private-key.detected-private-key,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/openssh-portable-V_7_2_P2/regress/unittests/sshkey/testdata/ecdsa_n#L1,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819193,2026-06-15 18:05:55.429783,2026-06-15 18:05:55.261416,refs/heads/main,,,,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file."
