Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Ai Impact,Ai Exploit Conditions,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
845819202,java.servlets.security.audit.url-rewriting.url-rewriting,Code,Critical,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/ResponseImpl.java#L62,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819202,2026-06-15 18:05:55.429951,2026-06-15 18:05:55.261464,refs/heads/main,,,,"URL rewriting has significant security risks. Since session ID appears in the URL, it may be easily seen by third parties."
845819201,java.servlets.security.audit.url-rewriting.url-rewriting,Code,Critical,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/ResponseImpl.java#L67,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819201,2026-06-15 18:05:55.429933,2026-06-15 18:05:55.261458,refs/heads/main,,,,"URL rewriting has significant security risks. Since session ID appears in the URL, it may be easily seen by third parties."
845819143,java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing.documentbuilderfactory-disallow-doctype-decl-missing,Code,High,Open,High,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/MavenComponentLibraryInfoSource.java#L103,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819143,2026-06-15 18:05:55.428881,2026-06-15 18:05:55.261147,refs/heads/main,,,,"DOCTYPE declarations are enabled for this DocumentBuilderFactory. This is vulnerable to XML external entity attacks. Disable this by setting the feature ""http://apache.org/xml/features/disallow-doctype-decl"" to true. Alternatively, allow DOCTYPE declarations and only prohibit external entities declarations. This can be done by setting the features ""http://xml.org/sax/features/external-general-entities"" and ""http://xml.org/sax/features/external-parameter-entities"" to false."
845819141,java.lang.security.xxe.xmlreader-xxe-parameter-entities.xmlreader-xxe-parameter-entities,Code,High,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/xml/Processor.java#L253,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819141,2026-06-15 18:05:55.428845,2026-06-15 18:05:55.261136,refs/heads/main,,,,"The application is using an XML parser that has not been safely configured. This might lead to XML External Entity (XXE) vulnerabilities when parsing user-controlled input. An attacker can include document type definitions (DTDs) which can interact with internal or external hosts. XXE can lead to other vulnerabilities, such as Local File Inclusion (LFI), Remote Code Execution (RCE), and Server- side request forgery (SSRF), depending on the application configuration. An attacker can also use DTDs to expand recursively, leading to a Denial-of-Service (DoS) attack, also known as a Billion Laughs Attack. It is our recommendation to secure this parser against XXE attacks through parameter entities by configuring $FACTORY with `reader.setFeature(http://apache.org/xml/features/disallow- doctype-decl, true)`. Alternatively, the following configurations also provide protection against XXE attacks. `reader.setProperty(XMLConstants.ACCESS_EXTERNAL_DTD, """")` `reader.setFeature(""http:// xml.org/sax/features/external-parameter-entities"", false)`. For more information, see: [Java XXE prevention](https://semgrep.dev/docs/cheat-sheets/java-xxe/)"
845819140,java.lang.security.xxe.xmlreader-xxe.xmlreader-xxe,Code,High,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/xml/Processor.java#L253,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819140,2026-06-15 18:05:55.428827,2026-06-15 18:05:55.261131,refs/heads/main,,,,"The application is using an XML parser that has not been safely configured. This might lead to XML External Entity (XXE) vulnerabilities when parsing user-controlled input. An attacker can include document type definitions (DTDs) which can interact with internal or external hosts. XXE can lead to other vulnerabilities, such as Local File Inclusion (LFI), Remote Code Execution (RCE), and Server-side request forgery (SSRF), depending on the application configuration. An attacker can also use DTDs to expand recursively, leading to a Denial-of-Service (DoS) attack, also known as a Billion Laughs Attack. It is our recommendation to secure this parser against XXE attacks by configuring $FACTORY with `reader.setFeature(http://apache.org/xml/features/disallow-doctype-decl, true)`. Alternatively, the following configurations also provide protection against XXE attacks. `reader.setProperty(XMLConstants.ACCESS_EXTERNAL_DTD, """")` `reader.setFeature(""http://xml.org/ sax/features/external-general-entities"", false)`. For more information, see: [Java XXE prevention] (https://semgrep.dev/docs/cheat-sheets/java-xxe/)"
845819014,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/CookiesImpl.java#L136,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819014,2026-06-15 18:05:55.426589,2026-06-15 18:05:55.260393,refs/heads/main,,,,A cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie. Set the 'HttpOnly' flag by calling 'cookie.setHttpOnly(true);'
845819013,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/modules/InternalModule.java#L95,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819013,2026-06-15 18:05:55.426572,2026-06-15 18:05:55.260387,refs/heads/main,,,,A cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie. Set the 'HttpOnly' flag by calling 'cookie.setHttpOnly(true);'
845819012,java.lang.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/modules/InternalModule.java#L95,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819012,2026-06-15 18:05:55.426554,2026-06-15 18:05:55.260382,refs/heads/main,,,,A cookie was detected without setting the 'secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'secure' flag by calling 'cookie.setSecure(true);'
845819011,java.lang.security.audit.object-deserialization.object-deserialization,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/ClientDataEncoderImpl.java#L113,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819011,2026-06-15 18:05:55.426537,2026-06-15 18:05:55.260377,refs/heads/main,,,,"Found object deserialization using ObjectInputStream. Deserializing entire Java objects is dangerous because malicious actors can create Java object streams with unintended consequences. Ensure that the objects being deserialized are not user-controlled. If this must be done, consider using HMACs to sign the data stream to make sure it is not tampered with, or consider only transmitting object fields and populating a new object."
845819007,javascript.browser.security.eval-detected.eval-detected,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/resources/META-INF/assets/tapestry5/require.js#L2078,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819007,2026-06-15 18:05:55.426465,2026-06-15 18:05:55.260355,refs/heads/main,,,,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
