Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Ai Impact,Ai Exploit Conditions,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
845529902,java.servlets.security.audit.url-rewriting.url-rewriting,Code,Critical,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/ResponseImpl.java#L62,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529902,2026-06-15 14:48:43.644944,2026-06-15 14:48:43.471389,refs/heads/main,,,,"URL rewriting has significant security risks. Since session ID appears in the URL, it may be easily seen by third parties."
845529901,java.servlets.security.audit.url-rewriting.url-rewriting,Code,Critical,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/ResponseImpl.java#L67,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529901,2026-06-15 14:48:43.644926,2026-06-15 14:48:43.471385,refs/heads/main,,,,"URL rewriting has significant security risks. Since session ID appears in the URL, it may be easily seen by third parties."
845529842,java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing.documentbuilderfactory-disallow-doctype-decl-missing,Code,High,Open,High,security,False,True positive,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/MavenComponentLibraryInfoSource.java#L103,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529842,2026-06-15 14:48:43.643750,2026-06-15 14:48:43.471090,refs/heads/main,,,,"DOCTYPE declarations are enabled for this DocumentBuilderFactory. This is vulnerable to XML external entity attacks. Disable this by setting the feature ""http://apache.org/xml/features/disallow-doctype-decl"" to true. Alternatively, allow DOCTYPE declarations and only prohibit external entities declarations. This can be done by setting the features ""http://xml.org/sax/features/external-general-entities"" and ""http://xml.org/sax/features/external-parameter-entities"" to false."
845529840,java.lang.security.xxe.xmlreader-xxe-parameter-entities.xmlreader-xxe-parameter-entities,Code,High,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/tapestry-5-5.4.3/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/xml/Processor.java#L253,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529840,2026-06-15 14:48:43.643707,2026-06-15 14:48:43.471080,refs/heads/main,,,,"The application is using an XML parser that has not been safely configured. This might lead to XML External Entity (XXE) vulnerabilities when parsing user-controlled input. An attacker can include document type definitions (DTDs) which can interact with internal or external hosts. XXE can lead to other vulnerabilities, such as Local File Inclusion (LFI), Remote Code Execution (RCE), and Server- side request forgery (SSRF), depending on the application configuration. An attacker can also use DTDs to expand recursively, leading to a Denial-of-Service (DoS) attack, also known as a Billion Laughs Attack. It is our recommendation to secure this parser against XXE attacks through parameter entities by configuring $FACTORY with `reader.setFeature(http://apache.org/xml/features/disallow- doctype-decl, true)`. Alternatively, the following configurations also provide protection against XXE attacks. `reader.setProperty(XMLConstants.ACCESS_EXTERNAL_DTD, """")` `reader.setFeature(""http:// xml.org/sax/features/external-parameter-entities"", false)`. For more information, see: [Java XXE prevention](https://semgrep.dev/docs/cheat-sheets/java-xxe/)"
845529839,java.lang.security.xxe.xmlreader-xxe-parameter-entities.xmlreader-xxe-parameter-entities,Code,High,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/XMLTokenStream.java#L316,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529839,2026-06-15 14:48:43.643689,2026-06-15 14:48:43.471075,refs/heads/main,,,,"The application is using an XML parser that has not been safely configured. This might lead to XML External Entity (XXE) vulnerabilities when parsing user-controlled input. An attacker can include document type definitions (DTDs) which can interact with internal or external hosts. XXE can lead to other vulnerabilities, such as Local File Inclusion (LFI), Remote Code Execution (RCE), and Server- side request forgery (SSRF), depending on the application configuration. An attacker can also use DTDs to expand recursively, leading to a Denial-of-Service (DoS) attack, also known as a Billion Laughs Attack. It is our recommendation to secure this parser against XXE attacks through parameter entities by configuring $FACTORY with `reader.setFeature(http://apache.org/xml/features/disallow- doctype-decl, true)`. Alternatively, the following configurations also provide protection against XXE attacks. `reader.setProperty(XMLConstants.ACCESS_EXTERNAL_DTD, """")` `reader.setFeature(""http:// xml.org/sax/features/external-parameter-entities"", false)`. For more information, see: [Java XXE prevention](https://semgrep.dev/docs/cheat-sheets/java-xxe/)"
845529838,java.lang.security.xxe.xmlreader-xxe-parameter-entities.xmlreader-xxe-parameter-entities,Code,High,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/tapestry-5-5.4.3/tapestry-javadoc/src/main/java/org/apache/tapestry5/javadoc/XDocStreamer.java#L308,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529838,2026-06-15 14:48:43.643671,2026-06-15 14:48:43.471069,refs/heads/main,,,,"The application is using an XML parser that has not been safely configured. This might lead to XML External Entity (XXE) vulnerabilities when parsing user-controlled input. An attacker can include document type definitions (DTDs) which can interact with internal or external hosts. XXE can lead to other vulnerabilities, such as Local File Inclusion (LFI), Remote Code Execution (RCE), and Server- side request forgery (SSRF), depending on the application configuration. An attacker can also use DTDs to expand recursively, leading to a Denial-of-Service (DoS) attack, also known as a Billion Laughs Attack. It is our recommendation to secure this parser against XXE attacks through parameter entities by configuring $FACTORY with `reader.setFeature(http://apache.org/xml/features/disallow- doctype-decl, true)`. Alternatively, the following configurations also provide protection against XXE attacks. `reader.setProperty(XMLConstants.ACCESS_EXTERNAL_DTD, """")` `reader.setFeature(""http:// xml.org/sax/features/external-parameter-entities"", false)`. For more information, see: [Java XXE prevention](https://semgrep.dev/docs/cheat-sheets/java-xxe/)"
845529837,java.lang.security.xxe.xmlreader-xxe-parameter-entities.xmlreader-xxe-parameter-entities,Code,High,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/tapestry-5-5.4.3/tapestry-jpa/src/main/java/org/apache/tapestry5/internal/jpa/PersistenceParser.java#L36,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529837,2026-06-15 14:48:43.643653,2026-06-15 14:48:43.471062,refs/heads/main,,,,"The application is using an XML parser that has not been safely configured. This might lead to XML External Entity (XXE) vulnerabilities when parsing user-controlled input. An attacker can include document type definitions (DTDs) which can interact with internal or external hosts. XXE can lead to other vulnerabilities, such as Local File Inclusion (LFI), Remote Code Execution (RCE), and Server- side request forgery (SSRF), depending on the application configuration. An attacker can also use DTDs to expand recursively, leading to a Denial-of-Service (DoS) attack, also known as a Billion Laughs Attack. It is our recommendation to secure this parser against XXE attacks through parameter entities by configuring $FACTORY with `reader.setFeature(http://apache.org/xml/features/disallow- doctype-decl, true)`. Alternatively, the following configurations also provide protection against XXE attacks. `reader.setProperty(XMLConstants.ACCESS_EXTERNAL_DTD, """")` `reader.setFeature(""http:// xml.org/sax/features/external-parameter-entities"", false)`. For more information, see: [Java XXE prevention](https://semgrep.dev/docs/cheat-sheets/java-xxe/)"
845529836,java.lang.security.xxe.xmlreader-xxe.xmlreader-xxe,Code,High,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/tapestry-5-5.4.3/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/xml/Processor.java#L253,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529836,2026-06-15 14:48:43.643628,2026-06-15 14:48:43.471057,refs/heads/main,,,,"The application is using an XML parser that has not been safely configured. This might lead to XML External Entity (XXE) vulnerabilities when parsing user-controlled input. An attacker can include document type definitions (DTDs) which can interact with internal or external hosts. XXE can lead to other vulnerabilities, such as Local File Inclusion (LFI), Remote Code Execution (RCE), and Server-side request forgery (SSRF), depending on the application configuration. An attacker can also use DTDs to expand recursively, leading to a Denial-of-Service (DoS) attack, also known as a Billion Laughs Attack. It is our recommendation to secure this parser against XXE attacks by configuring $FACTORY with `reader.setFeature(http://apache.org/xml/features/disallow-doctype-decl, true)`. Alternatively, the following configurations also provide protection against XXE attacks. `reader.setProperty(XMLConstants.ACCESS_EXTERNAL_DTD, """")` `reader.setFeature(""http://xml.org/ sax/features/external-general-entities"", false)`. For more information, see: [Java XXE prevention] (https://semgrep.dev/docs/cheat-sheets/java-xxe/)"
845529835,java.lang.security.xxe.xmlreader-xxe.xmlreader-xxe,Code,High,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/tapestry-5-5.4.3/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/XMLTokenStream.java#L316,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529835,2026-06-15 14:48:43.643610,2026-06-15 14:48:43.471051,refs/heads/main,,,,"The application is using an XML parser that has not been safely configured. This might lead to XML External Entity (XXE) vulnerabilities when parsing user-controlled input. An attacker can include document type definitions (DTDs) which can interact with internal or external hosts. XXE can lead to other vulnerabilities, such as Local File Inclusion (LFI), Remote Code Execution (RCE), and Server-side request forgery (SSRF), depending on the application configuration. An attacker can also use DTDs to expand recursively, leading to a Denial-of-Service (DoS) attack, also known as a Billion Laughs Attack. It is our recommendation to secure this parser against XXE attacks by configuring $FACTORY with `reader.setFeature(http://apache.org/xml/features/disallow-doctype-decl, true)`. Alternatively, the following configurations also provide protection against XXE attacks. `reader.setProperty(XMLConstants.ACCESS_EXTERNAL_DTD, """")` `reader.setFeature(""http://xml.org/ sax/features/external-general-entities"", false)`. For more information, see: [Java XXE prevention] (https://semgrep.dev/docs/cheat-sheets/java-xxe/)"
845529834,java.lang.security.xxe.xmlreader-xxe.xmlreader-xxe,Code,High,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/tapestry-5-5.4.3/tapestry-javadoc/src/main/java/org/apache/tapestry5/javadoc/XDocStreamer.java#L308,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529834,2026-06-15 14:48:43.643592,2026-06-15 14:48:43.471046,refs/heads/main,,,,"The application is using an XML parser that has not been safely configured. This might lead to XML External Entity (XXE) vulnerabilities when parsing user-controlled input. An attacker can include document type definitions (DTDs) which can interact with internal or external hosts. XXE can lead to other vulnerabilities, such as Local File Inclusion (LFI), Remote Code Execution (RCE), and Server-side request forgery (SSRF), depending on the application configuration. An attacker can also use DTDs to expand recursively, leading to a Denial-of-Service (DoS) attack, also known as a Billion Laughs Attack. It is our recommendation to secure this parser against XXE attacks by configuring $FACTORY with `reader.setFeature(http://apache.org/xml/features/disallow-doctype-decl, true)`. Alternatively, the following configurations also provide protection against XXE attacks. `reader.setProperty(XMLConstants.ACCESS_EXTERNAL_DTD, """")` `reader.setFeature(""http://xml.org/ sax/features/external-general-entities"", false)`. For more information, see: [Java XXE prevention] (https://semgrep.dev/docs/cheat-sheets/java-xxe/)"
