Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Ai Impact,Ai Exploit Conditions,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
845529852,javascript.lang.security.detect-child-process.detect-child-process,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/Trilium-0.100.0/apps/build-docs/src/script-api.ts#L11,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529852,2026-06-15 14:48:43.643946,2026-06-15 14:48:43.471146,refs/heads/main,,,,"Detected calls to child_process from a function argument `{ baseDir, gitRootDir }: BuildContext`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
845529851,javascript.lang.security.detect-child-process.detect-child-process,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/Trilium-0.100.0/apps/build-docs/src/swagger.ts#L30,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529851,2026-06-15 14:48:43.643926,2026-06-15 14:48:43.471141,refs/heads/main,,,,"Detected calls to child_process from a function argument `{ baseDir, gitRootDir }: BuildContext`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
845529850,javascript.lang.security.detect-child-process.detect-child-process,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/Trilium-0.100.0/apps/desktop/electron-forge/sign-windows.cjs#L23,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529850,2026-06-15 14:48:43.643909,2026-06-15 14:48:43.471135,refs/heads/main,,,,"Detected calls to child_process from a function argument `filePath`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
845529849,javascript.lang.security.audit.spawn-shell-true.spawn-shell-true,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/Trilium-0.100.0/scripts/port-issues.ts#L4,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529849,2026-06-15 14:48:43.643891,2026-06-15 14:48:43.471130,refs/heads/main,,,,"Found '$SPAWN' with '{shell: true}'. This is dangerous because this call will spawn the command using a shell process. Doing so propagates current shell settings and variables, which makes it much easier for a malicious actor to execute commands. Use '{shell: false}' instead."
845529848,javascript.lang.security.audit.spawn-shell-true.spawn-shell-true,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/Trilium-0.100.0/scripts/port-issues.ts#L16,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529848,2026-06-15 14:48:43.643866,2026-06-15 14:48:43.471125,refs/heads/main,,,,"Found '$SPAWN' with '{shell: true}'. This is dangerous because this call will spawn the command using a shell process. Doing so propagates current shell settings and variables, which makes it much easier for a malicious actor to execute commands. Use '{shell: false}' instead."
845529846,generic.secrets.security.detected-jwt-token.detected-jwt-token,Code,High,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/Trilium-0.100.0/apps/client/.env#L3,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529846,2026-06-15 14:48:43.643830,2026-06-15 14:48:43.471113,refs/heads/main,,,,JWT token detected
845529845,yaml.github-actions.security.run-shell-injection.run-shell-injection,Code,High,Open,High,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/Trilium-0.100.0/.github/actions/build-electron/action.yml#L68,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529845,2026-06-15 14:48:43.643812,2026-06-15 14:48:43.471107,refs/heads/main,,,,"Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
845529844,yaml.github-actions.security.run-shell-injection.run-shell-injection,Code,High,Open,High,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/Trilium-0.100.0/.github/actions/build-electron/action.yml#L90,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529844,2026-06-15 14:48:43.643787,2026-06-15 14:48:43.471102,refs/heads/main,,,,"Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
845529843,yaml.github-actions.security.run-shell-injection.run-shell-injection,Code,High,Open,High,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/Trilium-0.100.0/.github/actions/build-server/action.yml#L29,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529843,2026-06-15 14:48:43.643768,2026-06-15 14:48:43.471096,refs/heads/main,,,,"Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
845529841,dockerfile.security.missing-user.missing-user,Code,High,Open,Medium,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/cee58cb8f79901cf653f4c7ddb0f294284eb3df8/unpatched/Trilium-0.100.0/apps/server/Dockerfile#L27,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845529841,2026-06-15 14:48:43.643732,2026-06-15 14:48:43.471085,refs/heads/main,,,,"By not specifying a USER, a program in the container may run as 'root'. This is a security hazard. If an attacker can control a process running as root, they may have control over the container. Ensure that the last USER in a Dockerfile is a USER other than 'root'."
